,Name,Formula,Molecular Weight (lb/mol),Critical Temp. (°F),Critical Pressure (psia),Boiling Point (°F),Melting Point (°F),Psat @ 70°F (psia),Liquid Density @ 70°F (lb/ft3),Gas Density @ 70°F 1 atm (lb/ft3),Specific Volume @ 70°F 1 atm (ft3/lb),Specific Gravity,Specific Heat @ 70°F (Btu/lbmol-°F)
0,Acetylene,C2H2,26.04,96.0,906.0,-119.6,-113.4,586.2,23.61,0.0677,14.76,0.920,10.53
1,Ethyl Chloride,C2H5Cl,64.52,369.0,764.2,54.0,-217.0,20.3,55.78,0.1720,5.82,2.336,15.41
2,Octafluoropropane,C3F8,188.02,161.4,386.1,-34.3,-233.8,112.8,84.66,0.4956,2.02,6.734,35.48
3,Air,--,28.96,N/A,N/A,-317.8,N/A,(note 1),(note 1),0.075,13.3,1.000,6.96
4,Ethylene,C2H4,28.05,49.1,742.7,-154.8,-272.5,(note 1),(note 1),0.0730,13.70,0.992,10.28
5,Oxygen,O2,32.00,-181.8,729.1,-297.3,-361.9,(note 1),(note 1),0.0828,12.08,1.1,7.03
6,Ammonia,NH3,17.03,270.1,1636.0,-28.2,-107.9,129.0,38.55,0.0445,22.48,0.604,8.69
7,Fluorine,F2,38.00,-199.9,754.6,-306.8,-363.4,(note 1),(note 1),0.0983,10.17,1.336,7.49
8,Phosphine,PH3,34.00,124.9,947.9,-126.0,-208.8,493.2,35.50,0.0885,11.30,1.203,8.93
9,Argon,Ar,39.95,-188.4,705.8,-302.6,-308.8,(note 1),(note 1),0.1034,9.67,1.38,4.98
10,Halocarbon-23,CHF3,70.01,78.7,701.4,-115.5,-247.3,626.0,48.67,0.1827,5.47,2.482,12.25
11,Phosphorus Pentafluoride,PF5,125.97,66.1,492.3,-120.1,-136.8, (note 1),(note 1),0.3230,3.10,4.310,20.27
12,Halocarbon-116,C2F6,138.01,67.5,432.2,-108.7,-149.3,(note 1),(note 1),0.3616,2.77,4.913,25.25
13,Propane,C3H8,44.10,206.6,617.6,-43.7,-305.8,124.9,31.12,0.1160,8.62,1.576,17.71
14,Propylene,C3H6,42.08,197.5,666.3,-53.8,-301.4,152.2,31.92,0.1105,9.05,1.501,15.56
15,Boron Trifluoride,BF3,67.81,10.0,723.0,-148.5,-199.7,(note 1),(note 1),0.1745,5.73,2.320,12.10
16,Hydrogen,H2,2.02,-400.0,187.5,-423.0,-434.5,(note 1),(note 1),0.0052,191.90,0.069,6.87
17,Silicon Tetrachloride,SiCl4,169.90,453.0,543.8,136.6,-94.0,4.0,92.13,(note 2),(note 2),(note 2),(note 2)
18,Butane,C4H10,58.12,305.9,549.9,31.0,-217.0,31.3,36.05,0.1551,6.45,2.108,23.87
19,Hydrogen Chloride,HCl,36.46,124.5,1199.2,-120.8,-173.6,629.1,51.28,0.0948,10.54,1.289,7.29
20,Silicon Tetrafluoride,SiF4,104.08,6.5,539.3,-138.6,-124.2,(note 1),(note 1),0.2711,3.69,3.683,17.50
21,Carbon Dioxide,CO2,44.01,87.9,1071.0,-109.2,-69.9,852.8,47.64,0.1144,8.74,1.555,8.92
22,Hydrogen Fluoride,HF,20.01,370.4,940.5,67.14,-118.4,15.54,60.26,(note 2),(note 2),(note 2),(note 2)
23,Sulfur Dioxide,SO2,64.06,315.5,1142.0,14.3,-103.9,49.3,85.98,0.1682,5.94,2.285,9.58
24,Carbon Monoxide,CO,28.01,-220.4,485.6,-312.7,-337.1,(note 1),(note 1),0.0725,13.80,0.985,6.97
25,Hydrogen Sulfide,H2S,34.08,212.8,1306.5,-74.9,-122.0,263.6,48.52,0.0888,11.26,1.207,8.29
26,Sulfur Hexafluoride,SF6,146.05,114.0,545.2,-83,-58.9,314.4,86.25,0.3824,2.61,5.196,22.91
27,Chlorine,Cl2,70.91,291.2,1118.4,-29.3,-149.8,98.4,88.83,0.1858,5.38,2.524,8.16
28,Krypton,Kr,83.80,-82.8,798.0,-244.1,-251.3,(note 1),(note 1),0.2172,4.60,2.951,4.99
29,Sulfur Tetrafluoride,SF4,108.06,195.6,--,-40.7,-186,154.7,--,0.278,3.59,3.71,--
30,Deuterium,D2,4.03,-390.8,241.5,-417.0,-426.0,(note 1),(note 1),0.0104,95.97,0.142,6.95
31,Methane,CH4,16.04,-116.2,673.0,-258.7,-296.5,(note 1),(note 1),0.0416,24.06,0.565,8.53
32,Tetrafluoromethane,CF4,88.00,-50.2,543.6,-198.5,-298.5,(note 1),(note 1),0.2285,4.38,3.104,14.43
33,Diborane,B2H6,27.67,62.1,580.8,-135.1,-264.8,(note 1),(note 1),0.0712,14.05,0.950,13.67
34,Neon,Ne,20.18,-379.8,384.9,-410.9,-415.5,(note 1),(note 1),0.0522,19.17,0.709,4.97
35,Tungsten Hexafluoride,WF6,297.84,337.7,619.3,62.7,35.6,17.1,216.13,0.7951,1.26,10.803,28.37
36,Dichlorosilane,SiH2Cl2,101.01,348.8,678.2,49.9,-187.6,24.2,75.19,0.2602,3.84,3.470,14.74
37,Nitrogen,N2,28.01,-232.5,492.3,-320.5,-345.9,(note 1),(note 1),0.0725,13.80,0.967,6.97
38,Xenon,Xe,131.3,61.9,847.1,-162.6,-169.4,(note 1),(note 1),0.3414,2.93,4.639,5.02
39,Disilane,Si2H6,62.22,303.5,746.9,6.3,-206.7,49.3,N/A,N/A,N/A,N/A,N/A
40,Nitrogen Trifluoride,NF3,71.00,-38.5,646.9,-200.2,-340.2,(note 1),(note 1),0.1842,5.43,2.503,12.66
